"id","nome","nome_popular","pais","estado","cidade","estadio","divisao_nacional","forca_financeira"
"rio_branco_vn","Rio Branco Futebol Clube (Venda Nova)","Rio Branco-VN","BR","ES","Venda Nova do Imigrante","","",""
"rio_claro","Rio Claro Futebol Clube","Rio Claro","BR","SP","Rio Claro","","",""
"rio_negro_rr","Rio Negro Esporte Clube","Rio Negro","BR","RR","Boa Vista","","",""
"rio_preto","Rio Preto Esporte Clube","Rio Preto","BR","SP","São José do Rio Preto","","",""
"river_rr","River Futebol Clube (RR)","River","BR","RR","Boa Vista","","",""
"rondoniense_ro","Rondoniense","Rondoniense","BR","RO","Porto Velho","","",""
"samambaia","Samambaia Futebol Clube","Samambaia","BR","DF","Samambaia","Joaquim Domingos Roriz","",""
"sampaio_correa_ma","Sampaio Corrêa Futebol Clube","Sampaio Corrêa","BR","MA","São Luís","Castelão","",""
"sampaio_correa_rj","Sampaio Corrêa Futebol e Esporte","Sampaio Corrêa-RJ","BR","RJ","Saquarema","Lourival Gomes de Almeida","",""
"santa_catarina_ec","Santa Catarina Esporte Clube","Santa Catarina","BR","SC","Rio do Sul","Alfredo João Krieck","",""
"santa_cruz","Santa Cruz Futebol Clube","Santa Cruz","BR","PE","Recife","Arruda","serie_c","baixa"
"santa_cruz_ac","Santa Cruz Esporte Clube (AC)","Santa Cruz-AC","BR","AC","Rio Branco","","",""
"santa_cruz_rn","Santa Cruz Futebol Clube (Natal)","Santa Cruz-RN","BR","RN","Natal","","",""
"santa_cruz_rs","Futebol Clube Santa Cruz","Santa Cruz","BR","RS","Santa Cruz do Sul","Dos Plátanos","",""
"santa_rosa_pa","Santa Rosa Esporte Clube","Santa Rosa","BR","PA","Belém","","",""
"santo_andre","Esporte Clube Santo André","Santo André","BR","SP","Santo André","","",""
"santos","Santos Futebol Clube","Santos","BR","SP","Santos","Vila Belmiro","serie_a","media"
"santos_ap","Santos Futebol Clube (AP)","Santos-AP","BR","AP","Macapá","","",""
"sao_bento","Associação Atlética São Bento","São Bento","BR","SP","Sorocaba","","",""
"sao_bernardo","São Bernardo Futebol Clube Ltda.","São Bernardo","BR","SP","São Bernardo do Campo","","serie_b",""
"sao_caetano","Associação Desportiva São Caetano","São Caetano","BR","SP","São Caetano do Sul","","",""
"sao_carlense","São-Carlense Futebol Clube","São-Carlense","BR","SP","São Carlos","","",""
"sao_francisco_ac","São Francisco Futebol Clube (AC)","São Francisco-AC","BR","AC","Rio Branco","","",""
"sao_francisco_pa","São Francisco Futebol Clube (PA)","São Francisco","BR","PA","Santarém","","",""
"sao_goncalo_ec","São Gonçalo Esporte Clube","São Gonçalo EC","BR","RJ","São Gonçalo","","",""
"sao_jose_ap","São José Futebol Clube (AP)","São José-AP","BR","AP","Macapá","","",""
"sao_jose_rs","Esporte Clube São José","São José","BR","RS","Porto Alegre","Passo D'Areia","",""
"sao_jose_sp","São José Esporte Clube","São José","BR","SP","São José dos Campos","","",""
"sao_joseense","Independente Futebol São Joseense","São Joseense","BR","PR","São José dos Pinhais","","",""
"sao_luiz","Esporte Clube São Luiz","São Luiz","BR","RS","Ijuí","19 de Outubro","",""
"sao_paulo","São Paulo Futebol Clube","São Paulo","BR","SP","São Paulo","MorumBIS","serie_a","alta"
"sao_raimundo_am","São Raimundo Esporte Clube (AM)","São Raimundo-AM","BR","AM","Manaus","","",""
"sao_raimundo_pa","São Raimundo Esporte Clube (PA)","São Raimundo-PA","BR","PA","Santarém","","",""
"sao_raimundo_rr","São Raimundo Esporte Clube (RR)","São Raimundo-RR","BR","RR","Boa Vista","","",""
"sc_gaucho","Sport Clube Gaúcho","Gaúcho","BR","RS","Passo Fundo","","",""
"sergipe_fc","Sergipe Futebol Clube","Sergipe","BR","SE","Aracaju","","",""
"serra_branca","Serra Branca Futebol Clube","Serra Branca","BR","PB","Campina Grande","","",""
"serra_fc","Sociedade Desportiva Serra Futebol Clube","Serra","BR","ES","Serra","","",""
"sertaozinho","Sertãozinho Futebol Clube","Sertãozinho","BR","SP","Sertãozinho","","",""
"sobradinho","Sobradinho Esporte Clube","Sobradinho","BR","DF","Sobradinho","Augustinho Lima","",""
"sousa","Sousa Esporte Clube","Sousa","BR","PB","Sousa","","",""
"sport_recife","Sport Club do Recife","Sport","BR","PE","Recife","Ilha do Retiro","serie_b","media"
"sport_sinop","Clube Sport Sinop","Sport Sinop","BR","MT","Sinop","Gigante do Norte","",""
"ssa_fc","SSA Futebol Clube","SSA FC","BR","BA","Salvador","","",""
"tanabi","Tanabi Esporte Clube","Tanabi","BR","SP","Tanabi","","",""
"taquaritinga","Taquaritinga Futebol Clube","Taquaritinga","BR","SP","Taquaritinga","","",""
"taubate","Taubaté Futebol","Taubaté","BR","SP","Taubaté","","",""
"teresina_ec","Teresina Atlético Clube","Teresina","BR","PI","Teresina","","",""
"tirol","Tirol Esporte Clube","Tirol","BR","CE","Fortaleza","","",""
"tocantinopolis","Tocantinópolis Esporte Clube","Tocantinópolis","BR","TO","Tocantinópolis","","",""
"tombense","Tombense Futebol Clube","Tombense","BR","MG","Tombos","Antônio Guimarães de Almeida","",""
"trem","Trem Desportivo Clube","Trem","BR","AP","Macapá","","",""
"treze","Clube Treze de Maio","Treze","BR","PB","Campina Grande","","",""
"tuna_luso","Tuna Luso Brasileira","Tuna Luso","BR","PA","Belém","","",""
"tuntum","Tuntum Esporte Clube","Tuntum","BR","MA","Tuntum","Rafael Seabra","",""
"uberaba_sc","Uberaba Sport Club","Uberaba","BR","MG","Uberaba","Municipal João Guido","",""
"uberlandia_ec","Uberlândia Esporte Clube","Uberlândia","BR","MG","Uberlândia","Parque do Sabiá","",""
"uniao_barbarense","União Agrícola Barbarense Futebol Clube","União Barbarense","BR","SP","Santa Bárbara d'Oeste","Antônio Lins Ribeiro Guimarães","",""
"uniao_cacoalense","União Cacoalense","União Cacoalense","BR","RO","Cacoal","","",""
"uniao_frederiquense","União Frederiquense de Futebol","União Frederiquense","BR","RS","Frederico Westphalen","","",""
"uniao_rondonopolis","União Esporte Clube","União Rondonópolis","BR","MT","Rondonópolis","Engenheiro Luthero Lopes","",""
"uniao_sao_joao","União São João Esporte Clube","União São João","BR","SP","Araçoiaba da Serra","","",""
"uniao_suzano","União Suzano Atlético Clube","União Suzano","BR","SP","Suzano","Francisco Marques Figueira","",""
"uniao_to","União Atlético Clube","União-TO","BR","TO","Araguaína","","",""
"urt","União Recreativa dos Trabalhadores","URT","BR","MG","Patos de Minas","Zama Maciel","",""
"valeriodoce","Valeriodoce Esporte Clube","Valeriodoce","BR","MG","Itabira","Israel Pinheiro","",""
"varzea_grande_ec","Várzea Grande Esporte Clube","Várzea Grande","BR","MT","Várzea Grande","Dito Souza","",""
"vasco_da_gama","Club de Regatas Vasco da Gama","Vasco da Gama","BR","RJ","Rio de Janeiro","São Januário","serie_a","alta"
"vasco_da_gama_ac","Associação Desportiva Vasco da Gama","Vasco-AC","BR","AC","Rio Branco","","",""
"velo_clube","Velo Clube Rioclarense","Velo Clube","BR","SP","Rio Claro","","",""
"vera_cruz_pe","Vera Cruz Futebol Clube","Vera Cruz","BR","PE","Vitória de Santo Antão","Severino Cândido Carneiro","",""
"veranopolis","Veranópolis Esporte Clube Recreativo e Cultural","Veranópolis","BR","RS","Veranópolis","Antônio David Farina","",""
"vila_nova","Vila Nova Futebol Clube","Vila Nova","BR","GO","Goiânia","Estádio Onésio Brasileiro Alvarenga","serie_b","baixa"
"vilavelhense","Vilavelhense Futebol Clube","Vilavelhense","BR","ES","Vila Velha","","",""
"villa_nova","Villa Nova Atlético Clube","Villa Nova","BR","MG","Nova Lima","Castor Cifuentes","",""
"vitoria","Esporte Clube Vitória","Vitória","BR","BA","Salvador","Barradão","serie_a","media"
"vitoria_es","Vitória Futebol Clube","Vitória-ES","BR","ES","Vitória","","",""
"vitoria_tabocas","Associação Acadêmica e Desportiva Vitória das Tabocas","Vitória das Tabocas","BR","PE","Vitória de Santo Antão","Arena Pernambuco","",""
"vocem","Vila Operária Clube Esporte Mariano","VOCEM","BR","SP","Assis","Tonicão","",""
"volta_redonda","Volta Redonda Futebol Clube","Volta Redonda","BR","RJ","Volta Redonda","Raulino de Oliveira","serie_c",""
"votuporanguense","Votuporanguense Futebol Clube","Votuporanguense","BR","SP","Votuporanga","","",""
"xv_de_jau","Esporte Clube XV de Novembro (Jaú)","XV de Jaú","BR","SP","Jaú","Zezinho Magalhães","",""
"xv_de_piracicaba","Esporte Clube XV de Novembro","XV de Piracicaba","BR","SP","Piracicaba","","",""
"ypiranga_ap","Ypiranga Futebol Clube (AP)","Ypiranga-AP","BR","AP","Macapá","","",""
"ypiranga_pe","Sociedade Esportiva Ypiranga Futebol Clube","Ypiranga-PE","BR","PE","Santa Cruz do Capibaribe","","",""
"ypiranga_rs","Ypiranga Futebol Clube","Ypiranga","BR","RS","Erechim","Olímpico Colosso da Lagoa","serie_c",""
